Run,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,source_name,SRA Study,tissue_source,gender,rin,Age,Extraction,sex,sanitized_name,sanitized_name_with_run,sex_cleaned,tissue
SRR306720,RNA-Seq,76,PRJNA143627,SAMN00632128,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081878,GSM752566,Illumina Genome Analyzer IIx,GSM752566: gga lv M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1713,1247,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213970,GSM752566,Liver,SRP007412,"Facility of Linkoping University, Sweden",male,9.2,"~1 year\, adult",Standard,,GSM752566_gga_lv_M_1,SRR306720_GSM752566_gga_lv_M_1,male,Liver
SRR306721,RNA-Seq,76,PRJNA143627,SAMN00632129,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081879,GSM752567,Illumina Genome Analyzer IIx,GSM752567: gga ts M 1,SINGLE,cDNA,TRANSCRIPTOMIC,666,494,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213971,GSM752567,Testis,SRP007412,"Facility of Linkoping University, Sweden",male,8.6,"~1 year\, adult",Standard,,GSM752567_gga_ts_M_1,SRR306721_GSM752567_gga_ts_M_1,male,Testis
SRR306722,RNA-Seq,76,PRJNA143627,SAMN00632129,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081879,GSM752567,Illumina Genome Analyzer IIx,GSM752567: gga ts M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1632,1198,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213971,GSM752567,Testis,SRP007412,"Facility of Linkoping University, Sweden",male,8.6,"~1 year\, adult",Standard,,GSM752567_gga_ts_M_1,SRR306722_GSM752567_gga_ts_M_1,male,Testis
SRR306723,RNA-Seq,76,PRJNA143627,SAMN00632130,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081880,GSM752568,Illumina Genome Analyzer IIx,GSM752568: gga ts M 2,SINGLE,cDNA,TRANSCRIPTOMIC,2804,2112,Gallus gallus,ILLUMINA,2011-10-14T00:00:00Z,SRS213972,GSM752568,Testis,SRP007412,"Facility of Linkoping University, Sweden",male,8.9,"~1 year\, adult",Standard,,GSM752568_gga_ts_M_2,SRR306723_GSM752568_gga_ts_M_2,male,Testis
SRR306724,RNA-Seq,76,PRJNA143627,SAMN00632131,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081881,GSM752569,Illumina Genome Analyzer IIx,GSM752569: oan br F 1,SINGLE,cDNA,TRANSCRIPTOMIC,820,689,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213973,GSM752569,Brain,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",female,6.9,adult,Standard,,GSM752569_oan_br_F_1,SRR306724_GSM752569_oan_br_F_1,female,Brain
SRR306725,RNA-Seq,76,PRJNA143627,SAMN00632131,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081881,GSM752569,Illumina Genome Analyzer IIx,GSM752569: oan br F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1850,1436,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213973,GSM752569,Brain,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",female,6.9,adult,Standard,,GSM752569_oan_br_F_1,SRR306725_GSM752569_oan_br_F_1,female,Brain
SRR306726,RNA-Seq,76,PRJNA143627,SAMN00632132,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081882,GSM752570,Illumina Genome Analyzer IIx,GSM752570: oan br M 1,SINGLE,cDNA,TRANSCRIPTOMIC,707,518,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213974,GSM752570,Brain,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,7.3,adult,Standard,,GSM752570_oan_br_M_1,SRR306726_GSM752570_oan_br_M_1,male,Brain
SRR306727,RNA-Seq,76,PRJNA143627,SAMN00632132,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081882,GSM752570,Illumina Genome Analyzer IIx,GSM752570: oan br M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1037,811,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213974,GSM752570,Brain,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,7.3,adult,Standard,,GSM752570_oan_br_M_1,SRR306727_GSM752570_oan_br_M_1,male,Brain
SRR306728,RNA-Seq,76,PRJNA143627,SAMN00632133,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081883,GSM752571,Illumina Genome Analyzer IIx,GSM752571: oan cb F 1,SINGLE,cDNA,TRANSCRIPTOMIC,2302,1719,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213975,GSM752571,Cerebellum,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",female,8.3,adult,Standard,,GSM752571_oan_cb_F_1,SRR306728_GSM752571_oan_cb_F_1,female,Cerebellum
SRR306729,RNA-Seq,76,PRJNA143627,SAMN00632134,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081884,GSM752572,Illumina Genome Analyzer IIx,GSM752572: oan cb M 1,SINGLE,cDNA,TRANSCRIPTOMIC,2159,1609,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213976,GSM752572,Cerebellum,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,7.3,adult,Standard,,GSM752572_oan_cb_M_1,SRR306729_GSM752572_oan_cb_M_1,male,Cerebellum
SRR306730,RNA-Seq,76,PRJNA143627,SAMN00632135,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081885,GSM752573,Illumina Genome Analyzer IIx,GSM752573: oan ht F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1429,1089,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213977,GSM752573,Heart,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",female,7.8,adult,Standard,,GSM752573_oan_ht_F_1,SRR306730_GSM752573_oan_ht_F_1,female,Heart
SRR306731,RNA-Seq,76,PRJNA143627,SAMN00632136,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081886,GSM752575,Illumina Genome Analyzer IIx,GSM752575: oan ht M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1282,949,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213978,GSM752575,Heart,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,7.3,adult,Standard,,GSM752575_oan_ht_M_1,SRR306731_GSM752575_oan_ht_M_1,male,Heart
SRR306732,RNA-Seq,76,PRJNA143627,SAMN00632137,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081887,GSM752576,Illumina Genome Analyzer IIx,GSM752576: oan kd F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1357,982,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213979,GSM752576,Kidney,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",female,9.0,adult,Standard,,GSM752576_oan_kd_F_1,SRR306732_GSM752576_oan_kd_F_1,female,Kidney
SRR306733,RNA-Seq,76,PRJNA143627,SAMN00632138,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081888,GSM752578,Illumina Genome Analyzer IIx,GSM752578: oan kd M 1,SINGLE,cDNA,TRANSCRIPTOMIC,883,649,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213980,GSM752578,Kidney,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,7.8,adult,Standard,,GSM752578_oan_kd_M_1,SRR306733_GSM752578_oan_kd_M_1,male,Kidney
SRR306734,RNA-Seq,76,PRJNA143627,SAMN00632138,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081888,GSM752578,Illumina Genome Analyzer IIx,GSM752578: oan kd M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1222,947,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213980,GSM752578,Kidney,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,7.8,adult,Standard,,GSM752578_oan_kd_M_1,SRR306734_GSM752578_oan_kd_M_1,male,Kidney
SRR306735,RNA-Seq,76,PRJNA143627,SAMN00632139,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081889,GSM752580,Illumina Genome Analyzer IIx,GSM752580: oan lv F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1205,1010,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213981,GSM752580,Liver,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",female,7.6,adult,Standard,,GSM752580_oan_lv_F_1,SRR306735_GSM752580_oan_lv_F_1,female,Liver
SRR306736,RNA-Seq,76,PRJNA143627,SAMN00632139,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081889,GSM752580,Illumina Genome Analyzer IIx,GSM752580: oan lv F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1635,1264,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213981,GSM752580,Liver,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",female,7.6,adult,Standard,,GSM752580_oan_lv_F_1,SRR306736_GSM752580_oan_lv_F_1,female,Liver
SRR306737,RNA-Seq,76,PRJNA143627,SAMN00632140,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081890,GSM752581,Illumina Genome Analyzer IIx,GSM752581: oan lv M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1377,1049,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213982,GSM752581,Liver,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,8.6,adult,Standard,,GSM752581_oan_lv_M_1,SRR306737_GSM752581_oan_lv_M_1,male,Liver
SRR306738,RNA-Seq,76,PRJNA143627,SAMN00632140,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081890,GSM752581,Illumina Genome Analyzer IIx,GSM752581: oan lv M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1501,1173,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213982,GSM752581,Liver,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,8.6,adult,Standard,,GSM752581_oan_lv_M_1,SRR306738_GSM752581_oan_lv_M_1,male,Liver
SRR306739,RNA-Seq,76,PRJNA143627,SAMN00632141,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081891,GSM752583,Illumina Genome Analyzer IIx,GSM752583: oan ts M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1436,1099,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213983,GSM752583,Testis,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,8.6,adult,Standard,,GSM752583_oan_ts_M_1,SRR306739_GSM752583_oan_ts_M_1,male,Testis
SRR306741,RNA-Seq,76,PRJNA143627,SAMN00632142,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081892,GSM752585,Illumina Genome Analyzer IIx,GSM752585: oan ts M 2,SINGLE,cDNA,TRANSCRIPTOMIC,1918,1496,Ornithorhynchus anatinus,ILLUMINA,2011-10-14T00:00:00Z,SRS213984,GSM752585,Testis,SRP007412,"Captured in New South Wales, Australia (provided by Adelaide University)",male,8.0,adult,Standard,,GSM752585_oan_ts_M_2,SRR306741_GSM752585_oan_ts_M_2,male,Testis
SRR306742,RNA-Seq,76,PRJNA143627,SAMN00632143,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081893,GSM752588,Illumina Genome Analyzer IIx,GSM752588: mdo br F 1,SINGLE,cDNA,TRANSCRIPTOMIC,860,721,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213985,GSM752588,Brain,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",female,7.5,20 months,RNeasy,,GSM752588_mdo_br_F_1,SRR306742_GSM752588_mdo_br_F_1,female,Brain
SRR306743,RNA-Seq,76,PRJNA143627,SAMN00632143,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081893,GSM752588,Illumina Genome Analyzer IIx,GSM752588: mdo br F 1,SINGLE,cDNA,TRANSCRIPTOMIC,3615,2702,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213985,GSM752588,Brain,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",female,7.5,20 months,RNeasy,,GSM752588_mdo_br_F_1,SRR306743_GSM752588_mdo_br_F_1,female,Brain
SRR306744,RNA-Seq,76,PRJNA143627,SAMN00632144,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081894,GSM752590,Illumina Genome Analyzer IIx,GSM752590: mdo br M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1692,1283,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213986,GSM752590,Brain,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",male,7.2,6 months,miRNeasy,,GSM752590_mdo_br_M_1,SRR306744_GSM752590_mdo_br_M_1,male,Brain
SRR306745,RNA-Seq,76,PRJNA143627,SAMN00632145,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081895,GSM752592,Illumina Genome Analyzer IIx,GSM752592: mdo cb F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1783,1294,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213987,GSM752592,Cerebellum,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",female,7.9,20 months,RNeasy,,GSM752592_mdo_cb_F_1,SRR306745_GSM752592_mdo_cb_F_1,female,Cerebellum
SRR306746,RNA-Seq,76,PRJNA143627,SAMN00632146,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081896,GSM752594,Illumina Genome Analyzer IIx,GSM752594: mdo cb M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1789,1299,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213988,GSM752594,Cerebellum,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",male,8.4,6 months,RNeasy,,GSM752594_mdo_cb_M_1,SRR306746_GSM752594_mdo_cb_M_1,male,Cerebellum
SRR306747,RNA-Seq,76,PRJNA143627,SAMN00632147,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081897,GSM752596,Illumina Genome Analyzer IIx,GSM752596: mdo ht F 1,SINGLE,cDNA,TRANSCRIPTOMIC,873,619,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213989,GSM752596,Heart,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",female,9.1,25 months,Standard,,GSM752596_mdo_ht_F_1,SRR306747_GSM752596_mdo_ht_F_1,female,Heart
SRR306748,RNA-Seq,76,PRJNA143627,SAMN00632147,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081897,GSM752596,Illumina Genome Analyzer IIx,GSM752596: mdo ht F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1348,988,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213989,GSM752596,Heart,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",female,9.1,25 months,Standard,,GSM752596_mdo_ht_F_1,SRR306748_GSM752596_mdo_ht_F_1,female,Heart
SRR306749,RNA-Seq,76,PRJNA143627,SAMN00632148,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081898,GSM752598,Illumina Genome Analyzer IIx,GSM752598: mdo ht M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1263,921,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213990,GSM752598,Heart,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",male,9.1,6 months,Standard,,GSM752598_mdo_ht_M_1,SRR306749_GSM752598_mdo_ht_M_1,male,Heart
SRR306750,RNA-Seq,76,PRJNA143627,SAMN00632148,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081898,GSM752598,Illumina Genome Analyzer IIx,GSM752598: mdo ht M 1,SINGLE,cDNA,TRANSCRIPTOMIC,2484,1807,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213990,GSM752598,Heart,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",male,9.1,6 months,Standard,,GSM752598_mdo_ht_M_1,SRR306750_GSM752598_mdo_ht_M_1,male,Heart
SRR306751,RNA-Seq,76,PRJNA143627,SAMN00632149,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081899,GSM752601,Illumina Genome Analyzer IIx,GSM752601: mdo kd F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1653,1221,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213991,GSM752601,Kidney,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",female,8.8,25 months,Standard,,GSM752601_mdo_kd_F_1,SRR306751_GSM752601_mdo_kd_F_1,female,Kidney
SRR306752,RNA-Seq,76,PRJNA143627,SAMN00632150,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081900,GSM752603,Illumina Genome Analyzer IIx,GSM752603: mdo kd M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1115,812,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213992,GSM752603,Kidney,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",male,8.7,6 months,Standard,,GSM752603_mdo_kd_M_1,SRR306752_GSM752603_mdo_kd_M_1,male,Kidney
SRR306753,RNA-Seq,76,PRJNA143627,SAMN00632151,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081901,GSM752606,Illumina Genome Analyzer IIx,GSM752606: mdo lv F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1575,1159,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213993,GSM752606,Liver,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",female,8.6,25 months,Standard,,GSM752606_mdo_lv_F_1,SRR306753_GSM752606_mdo_lv_F_1,female,Liver
SRR306754,RNA-Seq,76,PRJNA143627,SAMN00632152,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081902,GSM752608,Illumina Genome Analyzer IIx,GSM752608: mdo lv M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1444,1102,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213994,GSM752608,Liver,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",male,9.1,6 months,Standard,,GSM752608_mdo_lv_M_1,SRR306754_GSM752608_mdo_lv_M_1,male,Liver
SRR306755,RNA-Seq,76,PRJNA143627,SAMN00632153,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081903,GSM752611,Illumina Genome Analyzer IIx,GSM752611: mdo ts M 1,SINGLE,cDNA,TRANSCRIPTOMIC,1162,972,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213995,GSM752611,Testis,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",male,8.0,6 months,Standard,,GSM752611_mdo_ts_M_1,SRR306755_GSM752611_mdo_ts_M_1,male,Testis
SRR306756,RNA-Seq,76,PRJNA143627,SAMN00632154,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081904,GSM752613,Illumina Genome Analyzer IIx,GSM752613: mdo ts M 2,SINGLE,cDNA,TRANSCRIPTOMIC,2598,1927,Monodelphis domestica,ILLUMINA,2011-10-14T00:00:00Z,SRS213996,GSM752613,Testis,SRP007412,"Opossum colonies from the Museum of Natural History, Berlin, Germany",male,9.4,4 months,RNeasy,,GSM752613_mdo_ts_M_2,SRR306756_GSM752613_mdo_ts_M_2,male,Testis
SRR306757,RNA-Seq,76,PRJNA143627,SAMN00632155,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX081905,GSM752614,Illumina Genome Analyzer IIx,GSM752614: mmu br F 1,SINGLE,cDNA,TRANSCRIPTOMIC,1907,1443,Mus musculus,ILLUMINA,2011-10-14T00:00:00Z,SRS213997,GSM752614,Brain,SRP007412,"In house, C57BL7/6 colonies",female,8.0,adult,Standard,,GSM752614_mmu_br_F_1,SRR306757_GSM752614_mmu_br_F_1,female,Brain
